Booking date,Batch Name,Destination,Lead time Value,Event Type Value,Nights,NvcrAccountName,NvcrPrimarySupplier
8-Oct-18,RM_MAC_UK,MAC,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_MAC_UKTR,MAC,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,REVTRUK,Hotelbeds
8-Oct-18,RM_NCL_UKTR,NCL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,REVTRUK,Hotelbeds
8-Oct-18,RM_NCL_UK,NCL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_QQY_UKTR,QQY,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,REVTRUK,Hotelbeds
8-Oct-18,RM_IBZ_ES,IBZ,Early Booking(+180)/Last Minute(+7)/Short Term(+30) ,Fixed/Fixed/Fixed,5,,
8-Oct-18,RM_IBZ_UKTR,IBZ,Early Booking(+180)/Immediate Arrivals(+3)/Last Minute(+7)/Short Term(+30) ,Fixed/Free/Fixed/Fixed,5,REVTRUK,Hotelbeds
8-Oct-18,RM_PMI_ES,PMI,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,7,,
8-Oct-18,RM_PMI_UK,PMI,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,7,,
8-Oct-18,RM_PMI_UKTR,PMI,Early Booking(+180)/Immediate Arrivals(+3)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,7,REVTRUK,Hotelbeds
8-Oct-18,RM_MAH_ES,MAH,Early Booking(+180)/Last Minute(+7)/Short Term(+30) ,Fixed/Fixed/Fixed,7,,
8-Oct-18,RM_MAH_UKTR,MAH,Early Booking(+180)/Immediate Arrivals(+3)/Last Minute(+7)/Short Term(+30) ,Fixed/Free/Fixed/Fixed,7,REVTRUK,Hotelbeds
8-Oct-18,RM_FUE_UK,FUE,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,6,,
8-Oct-18,RM_FUE_UKTR,FUE,Early Booking(+180)/Immediate Arrivals(+3)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,6,REVTRUK,Hotelbeds
8-Oct-18,RM_LPA_ES,LPA,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,6,,
8-Oct-18,RM_LPA_UK,LPA,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,6,,
8-Oct-18,RM_LPA_UKTR,LPA,Early Booking(+180)/Immediate Arrivals(+3)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,6,REVTRUK,Hotelbeds
8-Oct-18,RM_ACE_ES,ACE,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,7,,
8-Oct-18,RM_ACE_UK,ACE,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,7,,
8-Oct-18,RM_ACE_UKTR,ACE,Early Booking(+180)/Immediate Arrivals(+3)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,7,REVTRUK,Hotelbeds
8-Oct-18,RM_TFS_ES,TFS,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,6,,
8-Oct-18,RM_TFS_UK,TFS,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,6,,
8-Oct-18,RM_TFS_UKTR,TFS,Early Booking(+180)/Immediate Arrivals(+3)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,6,REVTRUK,Hotelbeds
8-Oct-18,RM_ATH_ES,ATH,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_ATH_UK,ATH,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_ATH_UKTR,ATH,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,REVTRUK,Hotelbeds
